,Stream,S,D50,Q,V,h,w,D,Fi,Qsi g/s,qsi g/s/m,qsi t/day,qsi t/day varw,D84,gs_ratio,V_adj,h_adj,Wi_star
0,East Dallas,0.018,0.059,0.675031682352475,0.695416451832389,0.124553451130704,8.02817101520983,0.004,0.016,0.002832,0.000354905275341,3.06638157894624e-05,3.04782745081577e-05,0.118,1.058171264832248,1.3587105395230163,0.0646207959427417,0.0011007774057408
1,East Dallas,0.018,0.059,0.675031682352475,0.695416451832389,0.124553451130704,8.02817101520983,0.0056,0.02,0.002006,0.000251431530214,2.17236842104896e-05,2.15887777766117e-05,0.118,0.9813608304705204,1.3125869734096625,0.06674304712602,0.0006238738430348
2,East Dallas,0.018,0.059,0.675031682352475,0.695416451832389,0.124553451130704,8.02817101520983,0.008,0.031,0.001019,0.000127649853801,1.10289473684064e-05,1.09665825295949e-05,0.118,0.9060162939579588,1.2654015834450656,0.069068805605067,0.0002043457748899
3,East Dallas,0.018,0.059,0.698540903274152,0.70524612976653,0.126877413090665,8.03785111884536,0.004,0.016,0.007748,0.000970976345402,8.38923562427328e-05,8.32843492747056e-05,0.118,1.0792507640210756,1.3766954535074594,0.0659080866308633,0.0029292259796684
4,East Dallas,0.018,0.059,0.698540903274152,0.70524612976653,0.126877413090665,8.03785111884536,0.0056,0.02,0.003422,0.000428877357714,3.70550037064896e-05,3.67835626249409e-05,0.118,1.0009113921943484,1.3299624057816664,0.0680726947153252,0.0010350643075963
5,East Dallas,0.018,0.059,0.698540903274152,0.70524612976653,0.126877413090665,8.03785111884536,0.008,0.031,0.001746,0.00021879718859,1.8904077094176e-05,1.87680012691838e-05,0.118,0.9240683216232786,1.2821546830866255,0.0704449751043443,0.0003406781290412
6,East Dallas,0.018,0.059,0.7162087961055,0.712505651126724,0.128600344530863,8.0449213119745,0.004,0.016,0.006899,0.000864537646199,7.46960526315936e-05,7.40931547848419e-05,0.118,1.0948961549172074,1.3899683842814212,0.0668635251748344,0.0025558856014475
7,East Dallas,0.018,0.059,0.7162087961055,0.712505651126724,0.128600344530863,8.0449213119745,0.0056,0.02,0.001404,0.00017600207115,1.520657894736e-05,1.50785315723899e-05,0.118,1.0154221231652854,1.3427856481158176,0.0690595798354108,0.0004162605632779
8,East Dallas,0.018,0.059,0.7162087961055,0.712505651126724,0.128600344530863,8.0449213119745,0.008,0.031,0.000687,8.60669468810916e-05,7.43618421052631e-06,7.37817036341302e-06,0.118,0.9374666738207126,1.2945184961170852,0.0714663785708428,0.0001313264449902
9,East Dallas,0.018,0.059,0.745832434767457,0.724444259812183,0.131445887940903,8.05640661634939,0.004,0.016,0.008738,0.001094955957144,9.46041946972416e-05,9.37096693292397e-05,0.118,1.120767766789449,1.4117790180906178,0.0684434623807185,0.0031325415789261
10,East Dallas,0.018,0.059,0.745832434767457,0.724444259812183,0.131445887940903,8.05640661634939,0.0056,0.02,0.008274,0.001036787876123,8.95784724970272e-05,8.87335550503695e-05,0.118,1.0394176138416154,1.3638574845477467,0.0706915301999412,0.0023729035742793
11,East Dallas,0.018,0.059,0.745832434767457,0.724444259812183,0.131445887940903,8.05640661634939,0.008,0.031,0.005147,0.000644967682364,5.57252077562496e-05,5.51984055891047e-05,0.118,0.9596246516014748,1.3148371472193785,0.0731555590747112,0.000952349671035
12,East Dallas,0.018,0.059,0.777892702635082,0.737053703032393,0.134467508307221,8.06835090781124,0.004,0.016,0.008488,0.001063708856963,9.19044452416032e-05,9.08938156482518e-05,0.118,1.148283303768294,1.434792182550663,0.0701237914157796,0.0029411517957705
13,East Dallas,0.018,0.059,0.777892702635082,0.737053703032393,0.134467508307221,8.06835090781124,0.0056,0.02,0.00412,0.00051627927061,4.4606528980704e-05,4.41190528358621e-05,0.118,1.064937998056356,1.386091261546461,0.0724271896571278,0.0011420085065073
14,East Dallas,0.018,0.059,0.777892702635081,0.737053703032393,0.134467508307221,8.06835090781124,0.008,0.031,0.000488,6.11074098748982e-05,5.27968021319121e-06,5.22575188929629e-06,0.118,0.9831874812604584,1.336273209713875,0.0749518363735576,8.720609281660811e-05
15,East Dallas,0.018,0.059,0.78903664886998,0.74136469186719,0.135504337017169,8.07239166803326,0.004,0.016,0.008002,0.001002796621183,8.66416280702112e-05,8.56465875829393e-05,0.118,1.157734945203471,1.4426547051337832,0.0707009877665078,0.0027409667590519
