,Stream,S,D50,Q,V,h,w,tau,D,Fi,Qsi g/s,qsi g/s/m,qsi t/day,qsi t/day varw,gs_ratio,V_adj,h_adj,Wi_star,Fs,tau_star_rm,tau_rm,b,tau_ri,tau_rat
0,East Dallas,0.024,0.052000000000000005,0.6750316823524749,0.6954164518323891,0.124553451130704,8.02817101520983,14.295871460428813,0.004,0.016,0.002832,0.0003549052753409999,3.06638157894624e-05,3.0478274508157696e-05,1.0054892046599475,1.4845799211149018,0.05948167747838904,7.149758979626228e-05,0.047,0.026859417530377808,25.21607778761671,0.12926815917620407,17.84635927517316,0.8010525418658592
1,East Dallas,0.024,0.052000000000000005,0.6750316823524749,0.6954164518323891,0.124553451130704,8.02817101520983,14.295871460428813,0.0056,0.02,0.002006,0.000251431530214,2.17236842104896e-05,2.15887777766117e-05,0.923129121266658,1.4341749888168591,0.06143460349795535,4.052179476186075e-05,0.047,0.026859417530377808,25.21607778761671,0.1321705598181233,18.51367778002224,0.7721789063356831
2,East Dallas,0.024,0.052000000000000005,0.6750316823524749,0.6954164518323891,0.124553451130704,8.02817101520983,14.295871460428813,0.008,0.031,0.001019,0.000127649853801,1.1028947368406403e-05,1.09665825295949e-05,0.8431803329712948,1.3826140084690757,0.06357505758952915,1.3272647415800384e-05,0.047,0.026859417530377808,25.21607778761671,0.1366158454470361,19.237194296550825,0.7431370313181285
3,East Dallas,0.024,0.052000000000000005,0.698540903274152,0.7052461297665301,0.126877413090665,8.03785111884536,14.562608842307258,0.004,0.016,0.0077480000000000005,0.000970976345402,8.38923562427328e-05,8.328434927470559e-05,1.025514910048855,1.5042267017642748,0.06066633718801074,0.0001902588083863653,0.047,0.026859417530377808,25.21607778761671,0.12926815917620407,17.84635927517316,0.8159988610430997
4,East Dallas,0.024,0.052000000000000005,0.698540903274152,0.7052461297665301,0.126877413090665,8.03785111884536,14.562608842307258,0.0056,0.02,0.0034219999999999997,0.00042887735771399995,3.70550037064896e-05,3.67835626249409e-05,0.9415161386624256,1.4531563895265651,0.06265826668568908,6.722939886967137e-05,0.047,0.026859417530377808,25.21607778761671,0.1321705598181233,18.51367778002224,0.7865864910980298
5,East Dallas,0.024,0.052000000000000005,0.698540903274152,0.7052461297665301,0.126877413090665,8.03785111884536,14.562608842307258,0.008,0.031,0.0017460000000000002,0.00021879718859,1.8904077094176e-05,1.87680012691838e-05,0.8599764160029153,1.4009146219501492,0.06484146751900521,2.2127693569758537e-05,0.047,0.026859417530377808,25.21607778761671,0.1366158454470361,19.237194296550825,0.7570027425942407
6,East Dallas,0.024,0.052000000000000005,0.7162087961055,0.7125056511267241,0.128600344530863,8.0449213119745,14.760361744218864,0.004,0.016,0.006899,0.0008645376461989999,7.469605263159359e-05,7.409315478484191e-05,1.0403780528906093,1.518726003634821,0.061545595428408685,0.0001660096395015334,0.047,0.026859417530377808,25.21607778761671,0.12926815917620407,17.84635927517316,0.8270797150628161
7,East Dallas,0.024,0.052000000000000005,0.7162087961055,0.7125056511267241,0.128600344530863,8.0449213119745,14.760361744218864,0.0056,0.02,0.0014039999999999999,0.00017600207115,1.5206578947360001e-05,1.5078531572389898e-05,0.9551630671752608,1.4671646606040445,0.06356647510728082,2.7036916679424093e-05,0.047,0.026859417530377808,25.21607778761671,0.1321705598181233,18.51367778002224,0.7972679399306867
8,East Dallas,0.024,0.052000000000000005,0.7162087961055,0.7125056511267241,0.128600344530863,8.0449213119745,14.760361744218864,0.008,0.031,0.000687,8.606694688109159e-05,7.436184210526311e-06,7.37817036341302e-06,0.8724425858289859,1.4144205087521193,0.06578140579035989,8.529902816271097e-06,0.047,0.026859417530377808,25.21607778761671,0.1366158454470361,19.237194296550825,0.7672824590052281
9,East Dallas,0.024,0.052000000000000005,0.7458324347674571,0.724444259812183,0.131445887940903,8.05640661634939,15.086964680193026,0.004,0.016,0.008738,0.001094955957144,9.46041946972416e-05,9.370966932923969e-05,1.0649559507546844,1.5425517308485392,0.06299954897368036,0.00020346454393207943,0.047,0.026859417530377808,25.21607778761671,0.12926815917620407,17.84635927517316,0.8453805309848913
